Time Interval (NYC Local Time), Quatity (Avg Qty from 5/1-5/20), Price (Trading Price from 5/21), European Call, European Put, Bull Spread, Bear Spread, Strangle, Straddle, Butterfly, American Call, American Put, Asian Call, Error, Asian Call with Control Variates, Error
09:30:00,10696640,130.16,22.47,16.78,8.95,10.20,32.24,39.25,2.57,22.47,17.60,1.86,0.0158,1.88,0.0002
09:45:00,8907871,130.48,22.71,16.70,9.04,10.11,32.32,39.41,2.48,22.71,17.47,2.04,0.0164,2.06,0.0002
10:00:00,10631856,130.35,22.61,16.73,9.00,10.15,32.29,39.35,2.52,22.61,17.52,1.96,0.0162,1.99,0.0002
10:15:00,7968852,130.50,22.73,16.69,9.04,10.11,32.32,39.42,2.48,22.73,17.47,2.05,0.0165,2.07,0.0002
10:30:00,7116972,130.93,23.04,16.59,9.15,10.00,32.42,39.63,2.37,23.04,17.30,2.29,0.0173,2.31,0.0002
10:45:00,6311327,131.12,23.19,16.54,9.20,9.95,32.47,39.73,2.32,23.19,17.22,2.40,0.0177,2.43,0.0002
11:00:00,6817398,131.35,23.36,16.48,9.26,9.89,32.52,39.84,2.26,23.36,17.13,2.55,0.0182,2.57,0.0002
11:15:00,5733615,131.20,23.25,16.52,9.22,9.93,32.49,39.77,2.29,23.25,17.19,2.48,0.0180,2.48,0.0002
11:30:00,6172092,131.14,23.20,16.53,9.21,9.94,32.47,39.74,2.31,23.20,17.22,2.44,0.0179,2.44,0.0002
11:45:00,7280017,131.08,23.16,16.55,9.19,9.96,32.46,39.71,2.33,23.16,17.24,2.41,0.0178,2.40,0.0002
12:00:00,5795266,131.05,23.14,16.56,9.18,9.96,32.45,39.69,2.33,23.14,17.25,2.39,0.0177,2.38,0.0002
12:15:00,3544394,131.23,23.27,16.51,9.23,9.92,32.50,39.78,2.29,23.27,17.18,2.50,0.0181,2.49,0.0002
12:30:00,3961362,131.54,23.50,16.43,9.31,9.84,32.57,39.93,2.21,23.50,17.07,2.69,0.0187,2.69,0.0002
12:45:00,3392003,131.43,23.42,16.46,9.28,9.87,32.54,39.88,2.23,23.42,17.10,2.62,0.0185,2.62,0.0002
13:00:00,3617895,131.34,23.35,16.48,9.26,9.89,32.52,39.84,2.26,23.35,17.14,2.57,0.0183,2.56,0.0002
13:15:00,4137806,131.29,23.32,16.50,9.25,9.90,32.51,39.81,2.27,23.32,17.16,2.54,0.0182,2.53,0.0002
13:30:00,4369025,131.42,23.41,16.46,9.28,9.87,32.54,39.88,2.24,23.41,17.11,2.62,0.0184,2.61,0.0002
13:45:00,4208543,131.49,23.47,16.45,9.30,9.85,32.56,39.91,2.22,23.47,17.08,2.66,0.0186,2.66,0.0002
14:00:00,4040228,131.49,23.46,16.45,9.30,9.85,32.56,39.91,2.22,23.46,17.08,2.63,0.0184,2.65,0.0002
14:15:00,3944704,131.39,23.39,16.47,9.27,9.88,32.53,39.86,2.25,23.39,17.12,2.57,0.0182,2.59,0.0002
14:30:00,4466707,131.36,23.37,16.48,9.26,9.88,32.53,39.85,2.25,23.37,17.13,2.55,0.0182,2.58,0.0002
14:45:00,4763369,131.45,23.44,16.46,9.29,9.86,32.55,39.89,2.23,23.44,17.09,2.61,0.0184,2.63,0.0002
15:00:00,6645228,131.66,23.59,16.40,9.34,9.81,32.60,40.00,2.17,23.59,17.03,2.75,0.0188,2.77,0.0002
15:15:00,6033030,131.73,23.65,16.38,9.36,9.79,32.61,40.03,2.16,23.65,17.00,2.79,0.0189,2.81,0.0002
15:30:00,7969087,131.86,23.74,16.35,9.40,9.75,32.64,40.10,2.12,23.74,16.96,2.88,0.0191,2.90,0.0002
15:45:00,13533707,131.83,23.72,16.36,9.39,9.76,32.64,40.08,2.13,23.72,16.97,2.86,0.0191,2.88,0.0002
16:00:00,10564643,131.98,23.83,16.32,9.43,9.72,32.67,40.15,2.09,23.83,16.92,2.96,0.0194,2.98,0.0002
